Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2014 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,45 to 64 Years,Male,6324,431,3320,973,535,700,365,1065,1600,41.8103707,-78.5712202
01/01/2015 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2502,206,791,615,304,319,267,586,890,41.8103707,-78.5712202
01/01/2014 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2531,209,815,629,303,313,262,575,878,41.8103707,-78.5712202
01/01/2016 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2438,219,850,555,275,321,218,539,814,41.8103707,-78.5712202
01/01/2012 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2619,177,1001,607,327,302,205,507,834,41.8103707,-78.5712202
01/01/2013 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2567,198,956,548,358,306,201,507,865,41.8103707,-78.5712202
01/01/2011 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2699,214,1065,559,362,305,194,499,861,41.8103707,-78.5712202
01/01/2010 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,35 to 44 Years,Female,2774,233,1105,496,339,410,191,601,940,41.8103707,-78.5712202
01/01/2010 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,25 to 34 Years,Female,2166,183,835,350,168,446,184,630,798,41.8103707,-78.5712202
01/01/2014 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,25 to 34 Years,Female,2143,247,721,439,166,398,172,570,736,41.8103707,-78.5712202
01/01/2011 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,25 to 34 Years,Female,2144,179,729,444,174,448,170,618,792,41.8103707,-78.5712202
01/01/2013 12:00:00 AM,42083,Northwest,North Central WDA,McKean,42,25 to 34 Years,Female,2135,281,688,459,171,367,169,536,707,41.8103707,-78.5712202
